"00:00:00,100",19.149798647687,73.00135763743417
"00:00:00,200",19.15009562139936,73.00133032234425
"00:00:00,300",19.15014289798843,73.00133054701594
"00:00:00,400",19.15017665911837,73.0013307073652
"00:00:00,500",19.15021711710226,73.00132376677641
"00:00:00,600",19.15023736602781,73.00132386340451
"00:00:00,700",19.15029135274155,73.00132412105252
"00:00:00,800",19.15031833940977,73.00132424972972
"00:00:00,900",19.15037904396667,73.00132453953252
"00:00:01,000",19.15039927389854,73.00132463611628
"00:00:01,100",19.15045320983492,73.00132489350985
"00:00:01,200",19.1505003897055,73.0013251185583
"00:00:01,300",19.15052060542047,73.00132521503909
"00:00:01,400",19.15054752112133,73.00132531258238
"00:00:01,500",19.15057436498573,73.00134662731992
"00:00:01,600",19.15060113096392,73.00135369040767
"00:00:01,700",19.15062789889061,73.00136075333278
"00:00:01,800",19.15067482606198,73.00138914669547
"00:00:01,900",19.1506882837499,73.00141047532118
"00:00:02,000",19.15074854024028,73.00145299060768
"00:00:02,100",19.15078202864481,73.00148134978508
"00:00:02,200",19.15080881586004,73.00150261594817
"00:00:02,300",19.15084230563017,73.00153097587089
"00:00:02,400",19.15087577920965,73.00155222901977
"00:00:02,500",19.15092267234941,73.00159477741093
"00:00:02,600",19.15094946214278,73.00161604529858
"00:00:02,700",19.15097626778298,73.00164442004962
"00:00:02,800",19.1510030431116,73.00165858193114
"00:00:02,900",19.15104992424566,73.0016940259965
"00:00:03,000",19.15107671607293,73.00171529562876
"00:00:03,100",19.15111018236003,73.00172944741077
"00:00:03,200",19.15117041854989,73.00175065865859
"00:00:03,300",19.15119717498969,73.0017506112769
"00:00:03,400",19.15123731347754,73.00175054026879
"00:00:03,500",19.15126407509037,73.0017504928565
"00:00:03,600",19.15131091289569,73.00175040982239
"00:00:03,700",19.15133098832886,73.001750374054
"00:00:03,800",19.151377824047,73.00174318248391
"00:00:03,900",19.15141127958551,73.00173601380622
"00:00:04,000",19.15143804446359,73.00172885621791
"00:00:04,100",19.15147149707222,73.00171457575738
"00:00:04,200",19.15151834618033,73.00170026855707
"00:00:04,300",19.15156518489221,73.00167173518889
"00:00:04,400",19.15159865469154,73.00165744715019
"00:00:04,500",19.15163212939938,73.00164315691652
"00:00:04,600",19.15168570795802,73.00162882566767
"00:00:04,700",19.15171919413776,73.00161453110223
"00:00:04,800",19.15174599081983,73.00160736310758
"00:00:04,900",19.15177949198963,73.00160018122544
"00:00:05,000",19.1518397902726,73.00157159485504
"00:00:05,100",19.15187330309565,73.00156440967349
"00:00:05,200",19.15190681979285,73.00155722334569
"00:00:05,300",19.15194035233123,73.0015429670886
"00:00:05,400",19.15196718908717,73.00153584849896
"00:00:05,500",19.152020864096,73.00152161097348
"00:00:05,600",19.15205440893859,73.00150737287207
"00:00:05,700",19.15206783057776,73.00150737271979
"00:00:05,800",19.15210137669673,73.00149313423755
"00:00:05,900",19.15218861300788,73.0014788945762
"00:00:06,000",19.15231611541438,73.00144329358449
"00:00:06,100",19.15257115687138,73.00138632370391
"00:00:06,200",19.15259800978113,73.00137915707727
"00:00:06,300",19.15277918593166,73.00135100066287
"00:00:06,400",19.15320169784955,73.0012877065851
"00:00:06,500",19.15355830847235,73.00124342444988
"00:00:06,600",19.15369308965585,73.00124274663671
"00:00:06,700",19.1537268014762,73.00124257705451
"00:00:06,800",19.15376051981366,73.00124240753345
"00:00:06,900",19.15380773647745,73.00124217001013
"00:00:07,000",19.15385496599228,73.00124193245887
"00:00:07,100",19.15393596109965,73.00124152511798
"00:00:07,200",19.15398321080134,73.00124130441566
"00:00:07,300",19.15402364136785,73.0012412024176
"00:00:07,400",19.15409777652967,73.00124101529335
"00:00:07,500",19.1541382204156,73.00124091321662
"00:00:07,600",19.15419889548034,73.00124076005785
"00:00:07,700",19.15422586553923,73.00124069200682
"00:00:07,800",19.15425283783802,73.0012406238862
"00:00:07,900",19.15429324319264,73.00124769573841
"00:00:08,000",19.15500207986926,73.00294945875692
"00:00:08,100",19.15499464007625,73.00304895959138
"00:00:08,200",19.15498751396087,73.00310579188489
"00:00:08,300",19.154973678951,73.00316260568637
"00:00:08,400",19.15496640517463,73.00324069416318
"00:00:08,500",19.15492418643615,73.00351727140013
"00:00:08,600",19.15489617728149,73.00368725427437
"00:00:08,700",19.15488945637977,73.00374399702582
"00:00:08,800",19.15486283686863,73.00380790221232
"00:00:08,900",19.15485618126201,73.00387886048864
"00:00:09,000",19.15479626996759,73.0040138292821
"00:00:09,100",19.15472301733992,73.00409920972069
"00:00:09,200",19.15468971040233,73.00412060972148
"00:00:09,300",19.15463631547695,73.00414912982097
"00:00:09,400",19.15458934466348,73.00417040685504
"00:00:09,500",19.15457597459308,73.00417042926623
"00:00:09,600",19.15434831565304,73.00420613142519
"00:00:09,700",19.15424128243502,73.00420631804859
"00:00:09,800",19.15414090894366,73.00420649270956
"00:00:09,900",19.15411413783556,73.004206539482
"00:00:10,000",19.15398713486066,73.00417139102675
"00:00:10,100",19.15396035168237,73.00415722991562
"00:00:10,200",19.1538929883493,73.00412860915154
"00:00:10,300",19.15385250890726,73.00410001944293
"00:00:10,400",19.15379858840262,73.0040785082781
"00:00:10,500",19.15371771296587,73.00402848277153
"00:00:10,600",19.15363018429631,73.00399268154307
"00:00:10,700",19.15346866249343,73.00387857129513
"00:00:10,800",19.15342161633838,73.00386424878951
"00:00:10,900",19.15332755061154,73.00382142266183
"00:00:11,000",19.15288519511436,73.00362940048501
"00:00:11,100",19.1528316414918,73.00361517516627
"00:00:11,200",19.15280487242301,73.00361515026449
"00:00:11,300",19.15277810185915,73.00360803882757
"00:00:11,400",19.15273125776013,73.00359382021004
"00:00:11,500",19.15270448057447,73.00358667618009
"00:00:11,600",19.15267101889836,73.00357244437444
"00:00:11,700",19.15262418505718,73.00355818275166
"00:00:11,800",19.15259743227853,73.00355813015457
"00:00:11,900",19.15257069580224,73.00355105991611
"00:00:12,000",19.15253727354014,73.00355105984538
"00:00:12,100",19.15251053566632,73.00355105973519
"00:00:12,200",19.15245706038395,73.00352984801323
"00:00:12,300",19.15240358297055,73.00352984775381
"00:00:12,400",19.15237015969944,73.00352984772421
"00:00:12,500",19.15234342008333,73.00352277680219
"00:00:12,600",19.15231668091562,73.00352277678474
"00:00:12,700",19.15226320335527,73.00352277657139
"00:00:12,800",19.15222309501178,73.00352277643658
"00:00:12,900",19.15219635606842,73.00352277623703
"00:00:13,000",19.15214956300781,73.003522776238
"00:00:13,100",19.15210945447706,73.00352277594513
"00:00:13,200",19.1520760310001,73.00352277595266
"00:00:13,300",19.15204929194449,73.00352277584324
"00:00:13,400",19.15201586841521,73.00352277562949
"00:00:13,500",19.15196240084555,73.00353691710373
"00:00:13,600",19.15194903692882,73.00354398749899
"00:00:13,700",19.15190226185968,73.00356519764942
"00:00:13,800",19.15189558327248,73.00357226741508
"00:00:13,900",19.15186885802865,73.00358640674654
"00:00:14,000",19.15182876643188,73.00360054552753
"00:00:14,100",19.15174863012053,73.00367123064356
"00:00:14,200",19.15174196861732,73.00369243339051
"00:00:14,300",19.15174199759587,73.0037207018661
"00:00:14,400",19.15172868379123,73.00377016577971
"00:00:14,500",19.15171537935,73.0038266877215
"00:00:14,600",19.15170875042047,73.00387613669901
"00:00:14,700",19.1517087957131,73.00391851593732
"00:00:14,800",19.15170883387764,73.00395382803289
"00:00:14,900",19.15169553437751,73.00401032013443
"00:00:15,000",19.15168896297335,73.00410915880562
"00:00:15,100",19.15168231548071,73.00413739314382
"00:00:15,200",19.15168253110204,73.00418654618487
"00:00:15,300",19.15167601179161,73.00421456892696
"00:00:15,400",19.15165638900853,73.00428457555854
"00:00:15,500",19.15165655061348,73.00431255862345
"00:00:15,600",19.15165675217239,73.00434752164527
"00:00:15,700",19.1516568734327,73.0043684905302
"00:00:15,800",19.15165711530607,73.00441041018219
"00:00:15,900",19.1516576791071,73.00450812344138
"00:00:16,000",19.15165784031166,73.00453601621879
"00:00:16,100",19.15174602113504,73.00484203064553
"00:00:16,200",19.15226303678499,73.0062431522348
"00:00:16,300",19.15270159679901,73.00725998470065
